,Region,Variables,R_2,Var_R,Random_seed
212,SanFrancisco,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7893713355986204,0.07498374140483632,2
213,SanFrancisco,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6237423708731998,0.21900943086381175,3
214,SanFrancisco,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7603181644178341,0.16076120932107707,4
215,Seattle,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.61123120777445,0.30386826971851,0
216,Seattle,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9554962916095412,0.025735294453358537,1
217,Seattle,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9051413077032296,0.038981515338991524,2
218,Seattle,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8858749720239133,0.058718666598467584,3
219,Seattle,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9302613974444371,0.004772973340597009,4
220,SouthCarolina,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9394088066811982,0.010492339278373897,0
221,SouthCarolina,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9042271848815097,0.04883390915600205,1
222,SouthCarolina,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8626807474386882,0.06522539504974256,2
223,SouthCarolina,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9464733529333609,0.0013561294307509186,3
224,SouthCarolina,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9415419075331474,0.0038998235636422685,4
225,SouthCentral,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9006905579431426,0.05024482393115093,0
226,SouthCentral,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9591729937736045,0.0054691870035049606,1
227,SouthCentral,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7825261625902646,0.1491956422396543,2
228,SouthCentral,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9249971412730198,0.03984888355111649,3
229,SouthCentral,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9669806944215834,0.0018555221239276998,4
230,Southeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9203091081683873,0.003463509568468748,0
231,Southeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8909511760612701,0.04138417706139852,1
232,Southeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8618212161750849,0.07968363806934275,2
233,Southeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.92410509379494,0.01201164250566178,3
234,Southeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9130167266482586,0.03890003041851264,4
235,Spokane,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8723985304343179,0.04202184683704957,0
236,Spokane,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9457392416381044,0.023666770045872032,1
237,Spokane,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8900663997247905,0.03659896171372279,2
238,Spokane,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9063323634757683,0.020643963471152493,3
